,Accuracy,Topology,Activation,Alpha,Lambda,Epochs,Batch Size
45,0.3375388888888889,[784  11  10],softmax,0.08,0.2,190,30
95,0.3338388888888889,[784  11  10],softmax,0.8,0.8,180,30
33,0.3320888888888889,[784  11  10],softmax,0.42,0.1,460,40
114,0.3188611111111111,[784 100  10],relu,0.74,1.3000000000000005,40,40
98,0.3131888888888889,[784  30  10],relu,0.62,2.7,30,40
163,0.3127611111111111,[784  30  10],tanh,1.09,2.9000000000000004,10,80
121,0.308,[784  30  10],tanh,1.07,0.4,20,20
37,0.3022444444444444,[784  10  10],softmax,0.55,0.7000000000000001,160,40
48,0.2949722222222222,[784  10  10],softmax,0.02,0.6,170,30
90,0.2927,[784  11  10],softmax,0.14,0.5,350,60
39,0.2824555555555555,[784  11  10],softmax,0.04,0.4,100,20
23,0.2812222222222222,[784  10  10],softmax,0.8400000000000001,0.7000000000000001,310,40
145,0.26845,[784 100  10],relu,0.86,2.2,20,70
6,0.26135,[784 100  10],tanh,0.7100000000000001,0.5,20,20
56,0.2605555555555555,[784 100  10],relu,0.81,0.6,60,60
100,0.2586388888888888,[784 100  10],relu,1.42,0.1,10,90
22,0.2394722222222222,[784  60  10],relu,0.7000000000000001,0.9,50,30
82,0.2362666666666666,[784  10],softmax,0.63,0.9,190,10
79,0.2331222222222222,[784  11  10],relu,0.89,0.6,180,50
49,0.2319722222222222,[784  11  10],softmax,0.98,0.9,120,20
168,0.2307722222222222,[784  30  10],relu,0.7100000000000001,0.3,40,20
16,0.2254888888888888,[784  10],relu,0.79,0.7000000000000001,360,10
15,0.2229222222222222,[784  60  10],relu,0.92,0.9,40,40
94,0.2223333333333333,[784  10  10],relu,0.94,0.5,430,80
62,0.2220722222222222,[784  30  10],relu,0.94,0.3,10,50
34,0.2157833333333333,[784  30  10],relu,0.5800000000000001,2.6,40,30
73,0.2099666666666666,[784  30  10],relu,0.8400000000000001,0.9,40,50
182,0.2090333333333333,[784  30  10],relu,0.89,0.8,20,60
52,0.2082388888888889,[784  30  10],relu,0.99,0.8,10,80
28,0.2078666666666666,[784  10  10],relu,0.98,0.1,480,50
1,0.2068833333333333,[784  60  10],relu,0.8300000000000001,0.4,60,20
132,0.2029833333333333,[784 100  10],relu,0.75,1.1,20,20
